order_id,product_id,product_amount,product_name,consumer_name
304,10,1663.0,laser,Nicolas Silveira
305,7,1233.0,trash can,Nicolas Silveira
307,52,303.0,bebedouro,Nicolas Silveira
308,20,756.0,led rgb,Nicolas Silveira
309,61,404,pasta,Poliane Machado Pedroso
310,40,1844,notebook samsung i7,Poliane Machado Pedroso
311,35,1451,monitor ultrawide,Poliane Machado Pedroso
313,17,11.0,bateria carro,Poliane Machado Pedroso
314,32,1967,instax mini,Poliane Machado Pedroso
315,29,271.0,camera fotografica,Carina Quadros Fraga
317,9,339,fluke,Carina Quadros Fraga
318,29,271.0,camera fotografica,Carina Quadros Fraga
319,44,1332,camera de segurança wifi,Carina Quadros Fraga
320,9,339,fluke,Carina Quadros Fraga
321,23,444,moto g10,Kléber Lima Ruiz
323,53,179,jack daniels,Carlos Braga Quadros
324,35,1451,monitor ultrawide,Carlos Braga Quadros
325,3,1948.0,batteries,Carlos Braga Quadros
327,16,1174,fichario,Carlos Braga Quadros
328,49,581,whisky,Carlos Braga Quadros
329,66,1620,leite condensado,Carlos Braga Quadros
330,40,1844,notebook samsung i7,Carina Braz Vargas
331,39,1523,moto g10 plus,Carina Braz Vargas
332,1,864.0,battery,Carina Braz Vargas
333,54,244,vodka,Carina Braz Vargas
334,23,444,moto g10,Carina Gimenes da Silva
335,34,33,papel de parede cinza,Heloísa Correia Arruda
336,40,1844,notebook samsung i7,Heloísa Correia Arruda
337,19,1767.0,bateria de carro,Heloísa Correia Arruda
338,65,914,morango,Rafael Arruda
339,50,1750.0,gin,Rafael Arruda
340,26,1291,nikon,Rafael Arruda
341,48,941,cerveja,Rafael Arruda
342,59,1589.0,doces,Rafael Arruda
344,49,581,whisky,Nicolas Gimenes Farias
345,29,271.0,camera fotografica,Nicolas Gimenes Farias
346,4,1474,power supply,Nicolas Gimenes Farias
348,43,484.0,moto g 10,Nicolas Gimenes Farias
349,41,757.0,samsung s20 fe,Nicolas Gimenes Farias
351,37,1803.0,moto g9 plus,Beatriz Braga Falcão
352,31,754,camera polaroid,Beatriz Braga Falcão
353,60,1163,cacau show,Beatriz Braga Falcão
354,6,1649,battery charger,Beatriz Braga Falcão
355,16,1174.0,fichario,Beatriz Braga Falcão
356,51,989.0,queijo,Beatriz Braga Falcão
357,44,1332,camera de segurança wifi,Beatriz Braga Falcão
358,70,1723.0,leite ninho,Fernando Gimenes
359,11,1655.0,kabel,Fernando Gimenes
360,44,1332,camera de segurança wifi,Fernando Gimenes
361,35,1451,monitor ultrawide,Fernando Gimenes
362,6,1649,battery charger,Fernando Gimenes
363,61,404,pasta,Fernando Gimenes
365,67,1777.0,cortina para sala,Heloísa Pedroso Braga
366,35,1451,monitor ultrawide,Heloísa Pedroso Braga
367,9,339,fluke,Heloísa Pedroso Braga
369,50,1750.0,gin,Valdomiro Braga da Cunha
370,69,1351.0,barra de chocolate,Valdomiro Braga da Cunha
371,45,1738.0,instax mini 11,Valdomiro Braga da Cunha
373,6,1649,battery charger,Carina Oliveira
374,21,1856,camera,Carina Oliveira
375,37,1800.0,moto g9 plus,Carina Oliveira
376,16,1174.0,fichario,Fernando Medeiros
377,67,1777.0,cortina para sala,Fernando Medeiros
378,64,1577,heineken,Fernando Medeiros
379,64,1577,heineken,Fernando Medeiros
380,65,914,morango,Gilmar Ito
381,54,244,vodka,Gilmar Ito
382,50,1750.0,gin,Gilmar Ito
383,36,1590,ipad,Gilmar Ito
384,65,914,morango,Gilmar Ito
385,8,427,car battery,Nicolas Machado
386,40,1844,notebook samsung i7,Nicolas Machado
387,24,514,polaroid,Nicolas Machado
388,38,824.0,motorola g10,Nicole Farias Braz
389,64,1577,heineken,Nicole Farias Braz
390,40,1844,notebook samsung i7,Nicole Farias Braz
391,34,33,papel de parede cinza,Nicole Farias Braz
392,16,1174.0,fichario,Nicole Farias Braz
395,23,444,moto g10,Elaine Leal
396,47,1341.0,chocolate,Elaine Leal
397,18,426,arduino,Poliane Lima
398,46,714,vinho,Poliane Lima
399,61,404,pasta,Poliane Lima
400,52,269.0,bebedouro,Poliane Lima
401,35,1451,monitor ultrawide,Poliane Lima
402,24,514,polaroid,Poliane Lima
403,58,832,espumante,Poliane Lima
405,2,1253,bateria,Nicolas Lima Nazário
407,5,77,led lights,Nicolas Lima Nazário
408,47,1341.0,chocolate,Émerson Assis
409,46,714,vinho,Émerson Assis
410,33,1035,câmera fotográfica,Émerson Assis
412,70,1723.0,leite ninho,Elaine Braga Nazário
413,8,427,car battery,Elaine Braga Nazário
415,3,1948.0,batteries,Elaine Braga Nazário
417,41,757.0,samsung s20 fe,Carlos Pedroso
418,9,339,fluke,Carlos Pedroso
419,13,1950,led strip,Carlos Pedroso
420,54,244,vodka,Carlos Pedroso
421,26,1291,nikon,Carlos Pedroso
422,67,1776.0,cortina para sala,Gilmar Cavalcanti
423,33,1035,câmera fotográfica,Gilmar Cavalcanti
424,32,1960.0,instax mini,Gilmar Cavalcanti
425,37,1800.0,moto g9 plus,Gilmar Cavalcanti
426,31,749.0,camera polaroid,Gilmar Cavalcanti
427,63,1307,cafeteira,Gilmar Lobo Ruiz
428,56,270,malbec,Gilmar Lobo Ruiz
429,68,149,açúcar,Taís da Silva Machado
430,50,1750.0,gin,Taís da Silva Machado
431,18,426,arduino,Taís da Silva Machado
432,15,1926.0,switch controller,Taís da Silva Machado
433,37,1800.0,moto g9 plus,Taís da Silva Machado
435,43,484.0,moto g 10,Taís Cavalcanti Carmo
436,33,1035,câmera fotográfica,Taís Cavalcanti Carmo
437,45,1738.0,instax mini 11,Heloísa Vargas
438,4,1474,power supply,Heloísa Vargas
439,43,484.0,moto g 10,Heloísa Vargas
440,62,218.0,carrefour,Heloísa Vargas
441,32,1960.0,instax mini,Heloísa Vargas
442,22,1808,câmera,Heloísa Vargas
443,55,1633,mercado livre,Heloísa Vargas
445,65,914,morango,Nicole Cavalcanti Cavalcanti
446,24,514,polaroid,Nicole Cavalcanti Cavalcanti
447,66,1620,leite condensado,Nicole Cavalcanti Cavalcanti
448,63,1307,cafeteira,Nicole Cavalcanti Cavalcanti
449,55,1633,mercado livre,Nicole Cavalcanti Cavalcanti
450,25,68,s20 fe,Nicole Cavalcanti Cavalcanti
451,21,1856,camera,Nicole da Cruz Lobo
452,65,914,morango,Nicole da Cruz Lobo
453,14,1720.0,carregador iphone,Nicole da Cruz Lobo
454,54,244,vodka,Nicole da Cruz Lobo
455,59,1589.0,doces,Nicole da Cruz Lobo
456,5,77,led lights,Nicole da Cruz Lobo
457,5,77,led lights,Émerson da Silva Barroso
459,13,1950,led strip,Émerson da Silva Barroso
460,47,1341.0,chocolate,Taís Vargas Leal
461,16,1174.0,fichario,Taís Vargas Leal
462,40,1841.0,notebook samsung i7,Taís Vargas Leal
463,57,47,dolce gusto,Taís Vargas Leal
464,69,1351.0,barra de chocolate,Taís Vargas Leal
465,44,1332,camera de segurança wifi,Taís Vargas Leal
466,18,426,arduino,Fernando de Salles
467,35,1451,monitor ultrawide,Fernando de Salles
470,7,1230.0,trash can,Nicolas Ito Lobo
471,12,439.0,multimeter,Nicolas Ito Lobo
472,63,1307,cafeteira,Nicolas Ito Lobo
473,58,832,espumante,Nicolas Ito Lobo
474,68,149,açúcar,Carina Gimenes
475,55,1633,mercado livre,Nicole Gimenes Silveira
476,22,1808,câmera,Nicole Gimenes Silveira
477,55,1633,mercado livre,Nicole Gimenes Silveira
479,8,427,car battery,Nicole Gimenes Silveira
480,57,47,dolce gusto,Rafael Oliveira Pacheco
481,66,1620,leite condensado,Rafael Oliveira Pacheco
483,31,749.0,camera polaroid,Rafael Oliveira Pacheco
485,22,1808,câmera,Carina Pacheco Falcão
486,6,1649,battery charger,Carina Pacheco Falcão
487,46,714,vinho,Carina Pacheco Falcão
489,22,1808,câmera,Rafael Vaz Damasceno
490,9,339,fluke,Nicole Medeiros da Silva
491,2,1253,bateria,Heloísa Paim Silveira
492,40,1841.0,notebook samsung i7,Heloísa Paim Silveira
493,61,404,pasta,Isabela Monteiro
494,45,1738.0,instax mini 11,Isabela Monteiro
495,33,1035,câmera fotográfica,Isabela Monteiro
496,46,714,vinho,Isabela Monteiro
497,39,1523,moto g10 plus,Isabela Monteiro
498,30,1638,moto g9,Isabela Monteiro
500,63,1307,cafeteira,Fernando Gimenes Machado
503,6,1649,battery charger,Fernando Gimenes Machado
504,65,914,morango,Fernando Gimenes Machado
505,48,941,cerveja,Elaine Lopes Medeiros
506,27,439.0,camera canon,Elaine Lopes Medeiros
507,64,1577,heineken,Elaine Lopes Medeiros
509,47,1341.0,chocolate,Antônio Leal Pacheco
510,43,484.0,moto g 10,Antônio Leal Pacheco
512,28,324.0,instax,Antônio Leal Pacheco
513,29,271.0,camera fotografica,Antônio Leal Pacheco
514,64,1577,heineken,Antônio Leal Pacheco
515,8,427,car battery,Antônio Leal Pacheco
516,34,33,papel de parede cinza,Beatriz Cavalcanti Correia
517,67,1776.0,cortina para sala,Beatriz Cavalcanti Correia
519,56,269.0,malbec,Beatriz Cavalcanti Correia
520,63,1307,cafeteira,Janaína Carmo
521,68,149,açúcar,Janaína Carmo
522,43,484.0,moto g 10,Janaína Carmo
523,55,1633,mercado livre,Janaína Carmo
524,61,404,pasta,Janaína Carmo
525,38,824.0,motorola g10,Janaína Carmo
526,9,339,fluke,Janaína Carmo
529,31,749.0,camera polaroid,Taís Ito Oliveira
531,68,149,açúcar,Elaine Medeiros da Cunha
532,53,179,jack daniels,Elaine Medeiros da Cunha
533,20,741.0,led rgb,Elaine Medeiros da Cunha
534,23,444,moto g10,Elaine Medeiros da Cunha
535,53,179,jack daniels,Elaine Medeiros da Cunha
536,46,714,vinho,Elaine Medeiros da Cunha
537,14,1720.0,carregador iphone,Taís Barroso Braga
538,37,1800.0,moto g9 plus,Taís Barroso Braga
539,34,33,papel de parede cinza,Taís Barroso Braga
540,70,1723.0,leite ninho,Taís Barroso Braga
541,66,1620,leite condensado,Taís Barroso Braga
542,14,1720.0,carregador iphone,Taís Barroso Braga
543,56,269.0,malbec,Beatriz Monteiro Fraga
544,15,1926.0,switch controller,Beatriz Monteiro Fraga
545,56,269.0,malbec,Beatriz Monteiro Fraga
546,44,1332,camera de segurança wifi,Beatriz Monteiro Fraga
547,2,1253,bateria,Beatriz Monteiro Fraga
548,32,1960.0,instax mini,Beatriz Monteiro Fraga
550,6,1649,battery charger,Heloísa Ito
551,70,1723.0,leite ninho,Heloísa Ito
552,2,1253,bateria,Heloísa Ito
553,2,1253,bateria,Heloísa Ito
554,8,427,car battery,Fernando Pedroso
555,29,271.0,camera fotografica,Valdomiro Vaz da Cunha
556,53,179,jack daniels,Carina Paim
558,15,1926.0,switch controller,Carina Paim
559,56,269.0,malbec,Poliane Cavalcanti
561,51,969.0,queijo,Poliane Cavalcanti
562,69,1351.0,barra de chocolate,Poliane Cavalcanti
564,40,1841.0,notebook samsung i7,Poliane Cavalcanti
565,66,1620,leite condensado,Nicolas Lima
566,8,427,car battery,Nicolas Lima
567,57,47,dolce gusto,Nicolas Lima
568,24,514,polaroid,Nicolas Lima
569,47,1341.0,chocolate,Nicolas Lima
570,68,149,açúcar,Nicolas Lima
571,66,1620,leite condensado,Carina Gimenes
573,26,1291,nikon,Carina Gimenes
574,60,1157.0,cacau show,Carina Gimenes
575,13,1950,led strip,Taís Lima Ito
576,48,941,cerveja,Taís Lima Ito
577,54,242.0,vodka,Taís Lima Ito
580,42,527,papel de parede branco,Heloísa Quadros Correia
581,35,1451,monitor ultrawide,Heloísa Quadros Correia
582,16,1174.0,fichario,Heloísa Quadros Correia
583,21,1856.0,camera,Heloísa Quadros Correia
585,20,741.0,led rgb,Adriano Gimenes Pacheco
586,23,444,moto g10,Taís Ito Simões
587,66,1620,leite condensado,Taís Ito Simões
588,36,1590,ipad,Taís Ito Simões
589,56,269.0,malbec,Taís Ito Simões
590,7,1230.0,trash can,Taís Ito Simões
591,45,1738.0,instax mini 11,Taís Ito Simões
592,7,1230.0,trash can,Taís Ito Simões
593,23,444,moto g10,Isabela Leal
595,39,1523,moto g10 plus,Kléber Ruiz
597,35,1451,monitor ultrawide,Taís Cavalcanti Machado
598,69,1351.0,barra de chocolate,Taís Cavalcanti Machado
599,34,33,papel de parede cinza,Carina Vaz Pedroso
600,62,200.0,carrefour,Carina Vaz Pedroso
601,1,864.0,battery,Carina Vaz Pedroso
602,39,1520.0,moto g10 plus,Carina Vaz Pedroso
603,8,427,car battery,Carina Vaz Pedroso
604,29,271.0,camera fotografica,Taís Medeiros Nazário
605,18,426,arduino,Carina Pacheco
606,35,1451,monitor ultrawide,Carina Pacheco
608,52,235.0,bebedouro,Carina Pacheco
610,11,1626.0,kabel,Adriano Lima da Silva
611,46,714,vinho,Adriano Lima da Silva
612,6,1649,battery charger,Adriano Lima da Silva
613,58,832.0,espumante,Adriano Lima da Silva
614,9,339,fluke,Adriano Lima da Silva
616,49,581,whisky,Émerson da Cruz
617,65,914,morango,Émerson da Cruz
618,49,581,whisky,Émerson da Cruz
619,27,439.0,camera canon,Émerson da Cruz
620,10,1647.0,laser,Émerson da Cruz
622,33,1035,câmera fotográfica,Carina Braz Quadros
623,55,1633,mercado livre,Valdomiro Paschoal Simões
624,8,427,car battery,Valdomiro Paschoal Simões
625,25,68.0,s20 fe,Valdomiro Paschoal Simões
626,50,1750.0,gin,Valdomiro Paschoal Simões
628,9,339,fluke,Valdomiro Paschoal Simões
629,62,200.0,carrefour,Valdomiro Paschoal Simões
630,17,2.0,bateria carro,Rafael Simões da Silva
631,6,1649,battery charger,Rafael Simões da Silva
633,68,149,açúcar,Isabela Braga Fraga
634,22,1808,câmera,Isabela Braga Fraga
635,31,748.0,camera polaroid,Gilmar Vaz Lima
636,44,1332,camera de segurança wifi,Gilmar Vaz Lima
638,47,1341.0,chocolate,Valdomiro Gimenes
639,55,1633,mercado livre,Valdomiro Gimenes
640,18,426,arduino,Valdomiro Gimenes
641,30,1638,moto g9,Valdomiro Gimenes
644,38,823.0,motorola g10,Fabiana Velho
645,29,271.0,camera fotografica,Fabiana Velho
646,2,1253,bateria,Fabiana Velho
647,65,914,morango,Fabiana Gimenes
648,24,512.0,polaroid,Fabiana Gimenes
649,10,1647.0,laser,Fabiana Gimenes
650,35,1451,monitor ultrawide,Fabiana Gimenes
651,49,581,whisky,Fabiana Gimenes
652,42,527,papel de parede branco,Fabiana Gimenes
654,45,1738.0,instax mini 11,Kléber Simões
655,12,439.0,multimeter,Kléber Simões
656,35,1451,monitor ultrawide,Kléber Simões
657,23,444,moto g10,Kléber Simões
658,43,484.0,moto g 10,Kléber Simões
661,15,1926.0,switch controller,Poliane Quadros da Cruz
662,26,1291,nikon,Beatriz da Cruz
664,25,68.0,s20 fe,Beatriz da Cruz
666,16,1174.0,fichario,Fabiana da Silva
667,28,324.0,instax,Fabiana da Silva
668,26,1291,nikon,Fabiana da Silva
669,26,1291,nikon,Fabiana da Silva
670,36,1590,ipad,Fabiana da Silva
671,3,1948.0,batteries,Carina Leal
672,56,269.0,malbec,Carina Leal
673,61,404,pasta,Carina Leal
675,56,269.0,malbec,Carina Leal
676,69,1351.0,barra de chocolate,Carina Leal
677,45,1719.0,instax mini 11,Carina Leal
680,10,1646.0,laser,Heloísa Lima
681,52,228.0,bebedouro,Heloísa Lima
683,59,1589.0,doces,Heloísa Lima
684,63,1307,cafeteira,Heloísa Lima
686,36,1590,ipad,Nicolas da Cunha
687,61,404,pasta,Adriano Silveira
688,3,1948.0,batteries,Adriano Silveira
689,54,242.0,vodka,Adriano Silveira
690,49,581,whisky,Adriano Silveira
691,56,269.0,malbec,Valdomiro Gimenes Barroso
692,4,1474,power supply,Valdomiro Gimenes Barroso
693,18,426,arduino,Valdomiro Gimenes Barroso
694,31,748.0,camera polaroid,Valdomiro Gimenes Barroso
695,52,228.0,bebedouro,Valdomiro Gimenes Barroso
696,40,1841.0,notebook samsung i7,Valdomiro Gimenes Barroso
697,40,1841.0,notebook samsung i7,Gilmar da Cruz Simões
