consumer,error_number,errors
Elaine Gimenes,2,"[{'Order_id': 173, 'Product_id': 42, 'Product_name': 'papel de parede branco'}, {'Order_id': 174, 'Product_id': 39, 'Product_name': 'moto g10 plus'}]"
Gilmar Lopes Braz,1,"[{'Order_id': 176, 'Product_id': 32, 'Product_name': 'instax mini'}]"
Antônio Cavalcanti Vaz,1,"[{'Order_id': 178, 'Product_id': 38, 'Product_name': 'motorola g10'}]"
Elaine Barroso,6,"[{'Order_id': 179, 'Product_id': 46, 'Product_name': 'vinho'}, {'Order_id': 180, 'Product_id': 25, 'Product_name': 's20 fe'}, {'Order_id': 181, 'Product_id': 35, 'Product_name': 'monitor ultrawide'}, {'Order_id': 182, 'Product_id': 23, 'Product_name': 'moto g10'}, {'Order_id': 183, 'Product_id': 5, 'Product_name': 'led lights'}, {'Order_id': 184, 'Product_id': 61, 'Product_name': 'pasta'}]"
Taís Machado,2,"[{'Order_id': 185, 'Product_id': 60, 'Product_name': 'cacau show'}, {'Order_id': 186, 'Product_id': 16, 'Product_name': 'fichario'}]"
Carina Correia Medeiros,7,"[{'Order_id': 187, 'Product_id': 68, 'Product_name': 'açúcar'}, {'Order_id': 188, 'Product_id': 24, 'Product_name': 'polaroid'}, {'Order_id': 189, 'Product_id': 50, 'Product_name': 'gin'}, {'Order_id': 190, 'Product_id': 64, 'Product_name': 'heineken'}, {'Order_id': 191, 'Product_id': 68, 'Product_name': 'açúcar'}, {'Order_id': 192, 'Product_id': 2, 'Product_name': 'bateria'}, {'Order_id': 193, 'Product_id': 18, 'Product_name': 'arduino'}]"
Nicolas Paschoal Correia,2,"[{'Order_id': 194, 'Product_id': 12, 'Product_name': 'multimeter'}, {'Order_id': 195, 'Product_id': 57, 'Product_name': 'dolce gusto'}]"
Nicolas Farias da Silva,1,"[{'Order_id': 196, 'Product_id': 6, 'Product_name': 'battery charger'}]"
Poliane da Silva,1,"[{'Order_id': 197, 'Product_id': 1, 'Product_name': 'battery'}]"
Isabela da Silva Carmo,3,"[{'Order_id': 200, 'Product_id': 40, 'Product_name': 'notebook samsung i7'}, {'Order_id': 201, 'Product_id': 33, 'Product_name': 'câmera fotográfica'}, {'Order_id': 202, 'Product_id': 43, 'Product_name': 'moto g 10'}]"
Heloísa Correia da Cunha,3,"[{'Order_id': 204, 'Product_id': 50, 'Product_name': 'gin'}, {'Order_id': 206, 'Product_id': 61, 'Product_name': 'pasta'}, {'Order_id': 207, 'Product_id': 54, 'Product_name': 'vodka'}]"
Carina Nazário,4,"[{'Order_id': 209, 'Product_id': 34, 'Product_name': 'papel de parede cinza'}, {'Order_id': 210, 'Product_id': 66, 'Product_name': 'leite condensado'}, {'Order_id': 211, 'Product_id': 21, 'Product_name': 'camera'}, {'Order_id': 212, 'Product_id': 54, 'Product_name': 'vodka'}]"
Carlos Velho,2,"[{'Order_id': 213, 'Product_id': 36, 'Product_name': 'ipad'}, {'Order_id': 214, 'Product_id': 20, 'Product_name': 'led rgb'}]"
Elaine Pacheco Leal,4,"[{'Order_id': 216, 'Product_id': 49, 'Product_name': 'whisky'}, {'Order_id': 217, 'Product_id': 7, 'Product_name': 'trash can'}, {'Order_id': 219, 'Product_id': 69, 'Product_name': 'barra de chocolate'}, {'Order_id': 220, 'Product_id': 68, 'Product_name': 'açúcar'}]"
Fabiana Fraga Cavalcanti,5,"[{'Order_id': 222, 'Product_id': 66, 'Product_name': 'leite condensado'}, {'Order_id': 223, 'Product_id': 8, 'Product_name': 'car battery'}, {'Order_id': 224, 'Product_id': 9, 'Product_name': 'fluke'}, {'Order_id': 225, 'Product_id': 5, 'Product_name': 'led lights'}, {'Order_id': 226, 'Product_id': 57, 'Product_name': 'dolce gusto'}]"
Poliane Leal Lobo,3,"[{'Order_id': 229, 'Product_id': 61, 'Product_name': 'pasta'}, {'Order_id': 230, 'Product_id': 2, 'Product_name': 'bateria'}, {'Order_id': 231, 'Product_id': 12, 'Product_name': 'multimeter'}]"
Carlos Pacheco,4,"[{'Order_id': 232, 'Product_id': 60, 'Product_name': 'cacau show'}, {'Order_id': 233, 'Product_id': 58, 'Product_name': 'espumante'}, {'Order_id': 234, 'Product_id': 46, 'Product_name': 'vinho'}, {'Order_id': 235, 'Product_id': 61, 'Product_name': 'pasta'}]"
Nicolas Machado Gimenes,6,"[{'Order_id': 236, 'Product_id': 23, 'Product_name': 'moto g10'}, {'Order_id': 238, 'Product_id': 3, 'Product_name': 'batteries'}, {'Order_id': 239, 'Product_id': 47, 'Product_name': 'chocolate'}, {'Order_id': 240, 'Product_id': 49, 'Product_name': 'whisky'}, {'Order_id': 241, 'Product_id': 58, 'Product_name': 'espumante'}, {'Order_id': 242, 'Product_id': 52, 'Product_name': 'bebedouro'}]"
Valdomiro Pacheco Vargas,2,"[{'Order_id': 243, 'Product_id': 64, 'Product_name': 'heineken'}, {'Order_id': 244, 'Product_id': 27, 'Product_name': 'camera canon'}]"
Fabiana da Silva Medeiros,3,"[{'Order_id': 246, 'Product_id': 3, 'Product_name': 'batteries'}, {'Order_id': 249, 'Product_id': 28, 'Product_name': 'instax'}, {'Order_id': 250, 'Product_id': 30, 'Product_name': 'moto g9'}]"
Valdomiro Monteiro,1,"[{'Order_id': 252, 'Product_id': 47, 'Product_name': 'chocolate'}]"
Carina Leal Vaz,5,"[{'Order_id': 254, 'Product_id': 35, 'Product_name': 'monitor ultrawide'}, {'Order_id': 255, 'Product_id': 3, 'Product_name': 'batteries'}, {'Order_id': 256, 'Product_id': 57, 'Product_name': 'dolce gusto'}, {'Order_id': 257, 'Product_id': 33, 'Product_name': 'câmera fotográfica'}, {'Order_id': 258, 'Product_id': 24, 'Product_name': 'polaroid'}]"
Kléber Lima Quadros,1,"[{'Order_id': 261, 'Product_id': 58, 'Product_name': 'espumante'}]"
Kléber Farias Ruiz,4,"[{'Order_id': 262, 'Product_id': 70, 'Product_name': 'leite ninho'}, {'Order_id': 263, 'Product_id': 26, 'Product_name': 'nikon'}, {'Order_id': 264, 'Product_id': 49, 'Product_name': 'whisky'}, {'Order_id': 265, 'Product_id': 64, 'Product_name': 'heineken'}]"
Taís Assis Arruda,2,"[{'Order_id': 267, 'Product_id': 65, 'Product_name': 'morango'}, {'Order_id': 268, 'Product_id': 26, 'Product_name': 'nikon'}]"
Gilmar Gimenes,5,"[{'Order_id': 271, 'Product_id': 55, 'Product_name': 'mercado livre'}, {'Order_id': 272, 'Product_id': 27, 'Product_name': 'camera canon'}, {'Order_id': 273, 'Product_id': 35, 'Product_name': 'monitor ultrawide'}, {'Order_id': 274, 'Product_id': 35, 'Product_name': 'monitor ultrawide'}, {'Order_id': 275, 'Product_id': 22, 'Product_name': 'câmera'}]"
Adriano Velho Ito,1,"[{'Order_id': 276, 'Product_id': 58, 'Product_name': 'espumante'}]"
Kléber Damasceno Gimenes,7,"[{'Order_id': 277, 'Product_id': 6, 'Product_name': 'battery charger'}, {'Order_id': 278, 'Product_id': 49, 'Product_name': 'whisky'}, {'Order_id': 279, 'Product_id': 54, 'Product_name': 'vodka'}, {'Order_id': 280, 'Product_id': 24, 'Product_name': 'polaroid'}, {'Order_id': 281, 'Product_id': 5, 'Product_name': 'led lights'}, {'Order_id': 282, 'Product_id': 38, 'Product_name': 'motorola g10'}, {'Order_id': 283, 'Product_id': 4, 'Product_name': 'power supply'}]"
Janaína Braz,3,"[{'Order_id': 284, 'Product_id': 63, 'Product_name': 'cafeteira'}, {'Order_id': 286, 'Product_id': 65, 'Product_name': 'morango'}, {'Order_id': 287, 'Product_id': 40, 'Product_name': 'notebook samsung i7'}]"
Janaína Cavalcanti,1,"[{'Order_id': 289, 'Product_id': 57, 'Product_name': 'dolce gusto'}]"
Émerson Assis Simões,6,"[{'Order_id': 290, 'Product_id': 38, 'Product_name': 'motorola g10'}, {'Order_id': 291, 'Product_id': 69, 'Product_name': 'barra de chocolate'}, {'Order_id': 292, 'Product_id': 13, 'Product_name': 'led strip'}, {'Order_id': 293, 'Product_id': 38, 'Product_name': 'motorola g10'}, {'Order_id': 295, 'Product_id': 14, 'Product_name': 'carregador iphone'}, {'Order_id': 296, 'Product_id': 59, 'Product_name': 'doces'}]"
Fernando Assis,6,"[{'Order_id': 297, 'Product_id': 22, 'Product_name': 'câmera'}, {'Order_id': 298, 'Product_id': 13, 'Product_name': 'led strip'}, {'Order_id': 299, 'Product_id': 31, 'Product_name': 'camera polaroid'}, {'Order_id': 300, 'Product_id': 5, 'Product_name': 'led lights'}, {'Order_id': 301, 'Product_id': 66, 'Product_name': 'leite condensado'}, {'Order_id': 302, 'Product_id': 33, 'Product_name': 'câmera fotográfica'}]"
Nicolas Silveira,5,"[{'Order_id': 303, 'Product_id': 42, 'Product_name': 'papel de parede branco'}, {'Order_id': 304, 'Product_id': 10, 'Product_name': 'laser'}, {'Order_id': 305, 'Product_id': 7, 'Product_name': 'trash can'}, {'Order_id': 307, 'Product_id': 52, 'Product_name': 'bebedouro'}, {'Order_id': 308, 'Product_id': 20, 'Product_name': 'led rgb'}]"
Poliane Machado Pedroso,5,"[{'Order_id': 309, 'Product_id': 61, 'Product_name': 'pasta'}, {'Order_id': 310, 'Product_id': 40, 'Product_name': 'notebook samsung i7'}, {'Order_id': 311, 'Product_id': 35, 'Product_name': 'monitor ultrawide'}, {'Order_id': 313, 'Product_id': 17, 'Product_name': 'bateria carro'}, {'Order_id': 314, 'Product_id': 32, 'Product_name': 'instax mini'}]"
Carina Quadros Fraga,5,"[{'Order_id': 315, 'Product_id': 29, 'Product_name': 'camera fotografica'}, {'Order_id': 317, 'Product_id': 9, 'Product_name': 'fluke'}, {'Order_id': 318, 'Product_id': 29, 'Product_name': 'camera fotografica'}, {'Order_id': 319, 'Product_id': 44, 'Product_name': 'camera de segurança wifi'}, {'Order_id': 320, 'Product_id': 9, 'Product_name': 'fluke'}]"
Kléber Lima Ruiz,1,"[{'Order_id': 321, 'Product_id': 23, 'Product_name': 'moto g10'}]"
Carlos Braga Quadros,6,"[{'Order_id': 323, 'Product_id': 53, 'Product_name': 'jack daniels'}, {'Order_id': 324, 'Product_id': 35, 'Product_name': 'monitor ultrawide'}, {'Order_id': 325, 'Product_id': 3, 'Product_name': 'batteries'}, {'Order_id': 327, 'Product_id': 16, 'Product_name': 'fichario'}, {'Order_id': 328, 'Product_id': 49, 'Product_name': 'whisky'}, {'Order_id': 329, 'Product_id': 66, 'Product_name': 'leite condensado'}]"
Carina Braz Vargas,4,"[{'Order_id': 330, 'Product_id': 40, 'Product_name': 'notebook samsung i7'}, {'Order_id': 331, 'Product_id': 39, 'Product_name': 'moto g10 plus'}, {'Order_id': 332, 'Product_id': 1, 'Product_name': 'battery'}, {'Order_id': 333, 'Product_id': 54, 'Product_name': 'vodka'}]"
Carina Gimenes da Silva,1,"[{'Order_id': 334, 'Product_id': 23, 'Product_name': 'moto g10'}]"
Heloísa Correia Arruda,3,"[{'Order_id': 335, 'Product_id': 34, 'Product_name': 'papel de parede cinza'}, {'Order_id': 336, 'Product_id': 40, 'Product_name': 'notebook samsung i7'}, {'Order_id': 337, 'Product_id': 19, 'Product_name': 'bateria de carro'}]"
Rafael Arruda,5,"[{'Order_id': 338, 'Product_id': 65, 'Product_name': 'morango'}, {'Order_id': 339, 'Product_id': 50, 'Product_name': 'gin'}, {'Order_id': 340, 'Product_id': 26, 'Product_name': 'nikon'}, {'Order_id': 341, 'Product_id': 48, 'Product_name': 'cerveja'}, {'Order_id': 342, 'Product_id': 59, 'Product_name': 'doces'}]"
Nicolas Gimenes Farias,5,"[{'Order_id': 344, 'Product_id': 49, 'Product_name': 'whisky'}, {'Order_id': 345, 'Product_id': 29, 'Product_name': 'camera fotografica'}, {'Order_id': 346, 'Product_id': 4, 'Product_name': 'power supply'}, {'Order_id': 348, 'Product_id': 43, 'Product_name': 'moto g 10'}, {'Order_id': 349, 'Product_id': 41, 'Product_name': 'samsung s20 fe'}]"
Beatriz Braga Falcão,7,"[{'Order_id': 351, 'Product_id': 37, 'Product_name': 'moto g9 plus'}, {'Order_id': 352, 'Product_id': 31, 'Product_name': 'camera polaroid'}, {'Order_id': 353, 'Product_id': 60, 'Product_name': 'cacau show'}, {'Order_id': 354, 'Product_id': 6, 'Product_name': 'battery charger'}, {'Order_id': 355, 'Product_id': 16, 'Product_name': 'fichario'}, {'Order_id': 356, 'Product_id': 51, 'Product_name': 'queijo'}, {'Order_id': 357, 'Product_id': 44, 'Product_name': 'camera de segurança wifi'}]"
Fernando Gimenes,6,"[{'Order_id': 358, 'Product_id': 70, 'Product_name': 'leite ninho'}, {'Order_id': 359, 'Product_id': 11, 'Product_name': 'kabel'}, {'Order_id': 360, 'Product_id': 44, 'Product_name': 'camera de segurança wifi'}, {'Order_id': 361, 'Product_id': 35, 'Product_name': 'monitor ultrawide'}, {'Order_id': 362, 'Product_id': 6, 'Product_name': 'battery charger'}, {'Order_id': 363, 'Product_id': 61, 'Product_name': 'pasta'}]"
Heloísa Pedroso Braga,3,"[{'Order_id': 365, 'Product_id': 67, 'Product_name': 'cortina para sala'}, {'Order_id': 366, 'Product_id': 35, 'Product_name': 'monitor ultrawide'}, {'Order_id': 367, 'Product_id': 9, 'Product_name': 'fluke'}]"
Valdomiro Braga da Cunha,3,"[{'Order_id': 369, 'Product_id': 50, 'Product_name': 'gin'}, {'Order_id': 370, 'Product_id': 69, 'Product_name': 'barra de chocolate'}, {'Order_id': 371, 'Product_id': 45, 'Product_name': 'instax mini 11'}]"
Carina Oliveira,3,"[{'Order_id': 373, 'Product_id': 6, 'Product_name': 'battery charger'}, {'Order_id': 374, 'Product_id': 21, 'Product_name': 'camera'}, {'Order_id': 375, 'Product_id': 37, 'Product_name': 'moto g9 plus'}]"
Fernando Medeiros,4,"[{'Order_id': 376, 'Product_id': 16, 'Product_name': 'fichario'}, {'Order_id': 377, 'Product_id': 67, 'Product_name': 'cortina para sala'}, {'Order_id': 378, 'Product_id': 64, 'Product_name': 'heineken'}, {'Order_id': 379, 'Product_id': 64, 'Product_name': 'heineken'}]"
Gilmar Ito,5,"[{'Order_id': 380, 'Product_id': 65, 'Product_name': 'morango'}, {'Order_id': 381, 'Product_id': 54, 'Product_name': 'vodka'}, {'Order_id': 382, 'Product_id': 50, 'Product_name': 'gin'}, {'Order_id': 383, 'Product_id': 36, 'Product_name': 'ipad'}, {'Order_id': 384, 'Product_id': 65, 'Product_name': 'morango'}]"
Nicolas Machado,3,"[{'Order_id': 385, 'Product_id': 8, 'Product_name': 'car battery'}, {'Order_id': 386, 'Product_id': 40, 'Product_name': 'notebook samsung i7'}, {'Order_id': 387, 'Product_id': 24, 'Product_name': 'polaroid'}]"
Nicole Farias Braz,5,"[{'Order_id': 388, 'Product_id': 38, 'Product_name': 'motorola g10'}, {'Order_id': 389, 'Product_id': 64, 'Product_name': 'heineken'}, {'Order_id': 390, 'Product_id': 40, 'Product_name': 'notebook samsung i7'}, {'Order_id': 391, 'Product_id': 34, 'Product_name': 'papel de parede cinza'}, {'Order_id': 392, 'Product_id': 16, 'Product_name': 'fichario'}]"
Elaine Leal,2,"[{'Order_id': 395, 'Product_id': 23, 'Product_name': 'moto g10'}, {'Order_id': 396, 'Product_id': 47, 'Product_name': 'chocolate'}]"
Poliane Lima,7,"[{'Order_id': 397, 'Product_id': 18, 'Product_name': 'arduino'}, {'Order_id': 398, 'Product_id': 46, 'Product_name': 'vinho'}, {'Order_id': 399, 'Product_id': 61, 'Product_name': 'pasta'}, {'Order_id': 400, 'Product_id': 52, 'Product_name': 'bebedouro'}, {'Order_id': 401, 'Product_id': 35, 'Product_name': 'monitor ultrawide'}, {'Order_id': 402, 'Product_id': 24, 'Product_name': 'polaroid'}, {'Order_id': 403, 'Product_id': 58, 'Product_name': 'espumante'}]"
