 consumer_id              consumer_name  errors_number
         303             FernandoVargas              1
         304            ValdomiroVargas              2
         305   HeloísaCavalcantidaSilva              3
         306                JanaínaLima              3
         307           NicoleCarmoBraga              7
         308                   TaísBraz              1
         309            KléberDamasceno              6
         310               AdrianoCarmo              3
         311           JanaínaSimõesIto              3
         312             BeatrizMachado              6
         313       BeatrizPaschoalLopes              2
         314     NicolasBarrosodeSalles              4
         315     NicolePaschoalMedeiros              2
         316             FernandoFarias              6
         317        RafaelVelhoSilveira              1
         318                 AntônioVaz              5
         319         ÉmersonSimõesFraga              2
         320                 BeatrizVaz              4
         321           ElaineBrazFarias              3
         322           CarinaFragaBraga              1
         323          IsabelaLoboFarias              6
         324              JanaínaSimões              6
         325            NicolasSilveira              1
         326         FabianaVazPaschoal              7
         327             CarlosSilveira              6
         328         AdrianoRuizdaSilva              5
         329       IsabelaFariasdaCunha              6
         330          AdrianoGimenesVaz              3
         331         IsabelaGimenesPaim              2
         332      CarlosBarrosoOliveira              4
         333                 PolianeVaz              6
         334         CarinaFariasArruda              3
         335             JanaínadaCunha              2
         336          NicoleMachadoBraz              1
         337              HeloísaFalcão              4
         338        HeloísaNazárioFraga              1
         339        KléberMedeirosBraga              4
         340                 GilmarLima              6
         341             AdrianoGimenes              3
         342           NicolasLoboLopes              5
         343              ElainedaSilva              6
         344            KléberItoArruda              5
         345             FabianaPedroso              4
         346        IsabeladeSallesBraz              1
         347       AntônioMonteiroVelho              2
         348      BeatrizMachadoNazário              5
         349             AdrianoNazário              5
         350              JanaínaFarias              2
         351       KléberMedeirosFarias              4
         352             FernandodaCruz              3
         353           CarlosLimaFalcão              7
         354       JanaínaLopesMedeiros              3
         355            ValdomiroFalcão              7
         356       AntôniodaCruzNazário              6
         357           KléberCavalcanti              4
         358         FernandoItoCorreia              2
         359            CarlosLealCarmo              4
         360       GilmarMachadoMachado              2
         361            TaísCorreiaLobo              6
         362             KléberPaschoal              3
         363               ÉmersonBraga              5
         364         GilmarCorreiaLopes              5
         365         AntônioCarmoArruda              5
         366       CarlosdaSilvaMachado              6
         367             IsabelaPedroso              7
         368      JanaínadaSilvaPedroso              2
         369         HeloísaLealPacheco              7
         370              ElaineMachado              4
         371         NicoleLopesNazário              3
         372             NicolasGimenes              5
         373     BeatrizFalcãoDamasceno              3
         374           AdrianoDamasceno              3
         375                  CarinaVaz              2
         376    BeatrizArrudaCavalcanti              3
         377              NicoleLealVaz              4
         378                GilmarVelho              6
         379              NicolasVargas              5
         380       ValdomiroLimaMachado              2
         381       PolianeNazárioVargas              5
         382          AntônioVazPacheco              1
         383     ValdomiroCavalcantiVaz              4
         384        FernandoRuizBarroso              7
         385             FabianadaSilva              3
         386        ElaineCarmoSilveira              3
         387      RafaelCavalcantiFraga              6
         388         IsabeladaCruzCarmo              5
         389             AntônioGimenes              5
         390               ElaineVargas              6
         391      IsabelaLimaCavalcanti              7
         392      FabianaBarrosoBarroso              2
         393        ValdomiroVazMachado              5
         395           ElaineSimõesLima              4
         396          HeloísaFragaCarmo              1
         397       NicolasOliveiraAssis              4
         398                 RafaelBraz              3
         399              NicoleGimenes              4
         400       AntônioLopesMonteiro              2
         401          TaísCarmoSilveira              1
         402               CarinaSimões              4
         404            ÉmersonMonteiro              4
         405                IsabelaPaim              4
         406           FernandoItoAssis              5
         407              KléberGimenes              5
         408                 RafaelRuiz              4
         409       PolianeSimõesNazário              2
         410              KléberMachado              4
         411                AdrianoLima              5
         412                 FabianaVaz              7
         413       ValdomirodeSallesVaz              4
         414            JanaínaSilveira              2
         415                 ÉmersonVaz              3
         416      HeloísadeSallesFalcão              6
         417                AdrianoBraz              1
         428         HeloísadaCruzAssis              4
         440                 RafaelLobo              3
         442          NicolasCavalcanti              6
         444             HeloísaQuadros              5
         453            RafaelLoboFraga              7
         467           AdrianoItoArruda              3
         472          ElaineMachadoRuiz              3
         473              KléberBarroso              6
         474        HeloísaMonteiroLima              5
         475       TaísCavalcantiSimões              6
         478              HeloísaVargas              3
         479               ÉmersonAssis              3
         525                PolianeLobo              3
         527         ÉmersonLimaGimenes              3
         533      FabianaFariasOliveira              6
         539       CarlosCorreiaGimenes              2
         540                HeloísaLeal              4
         543              GilmarItoBraz              4
         548         NicoleQuadrosCarmo              6
         553               FernandoBraz              5
         567                KléberBraga              5
         585       RafaeldaCunhaGimenes              3
         604           RafaelSimõesPaim              3
         607        PolianeMachadoBraga              4
         608                 CarlosPaim              5
         615           HeloísaSimõesIto              6
         616       ValdomiroCarmoArruda              4
         638          IsabelaCavalcanti              3
         640        CarlosSimõesQuadros              4
         641              ElaineCorreia              3
         656               KléberFalcão              3
         666       CarinaPachecoGimenes              4
         674         ÉmersonFariasFraga              5
         680        ÉmersonOliveiraLima              5
         686              KléberMachado              1
         687         KléberFariasArruda              3
         688                 RafaelLeal              5
         689        FabianaLopesNazário              2
         690               CarlosVargas              1
         691             HeloísaCorreia              2
         692          TaísdaCruzdaCunha              6
         693        RafaelItoCavalcanti              2
         694     ValdomiroCarmoSilveira              4
         695           PolianeVelhoLeal              4
         696               TaísSilveira              5
         697           RafaeldaSilvaIto              4
         698                FernandoVaz              2
         699                HeloísaBraz              5
         700             TaísAssisCarmo              5
         701             PolianeMachado              4
         702             ElaineBrazLima              2
         703      GilmarBarrosoMedeiros              2
         704             IsabelaGimenes              4
         705              RafaelGimenes              3
         706       FabianaPaschoalVelho              3
         707        HeloísaArrudadaCruz              4
         708            IsabelaMedeiros              1
         709     FernandoGimenesCorreia              5
         710        NicoledaCruzMachado              1
         711          FabianaCarmoAssis              5
         712              TaísDamasceno              5
         713             HeloísaGimenes              2
         714       AdrianoFariasMachado              4
         715              ValdomiroPaim              4
         716            CarinaCarmoRuiz              5
         717             AdrianodaSilva              1
         718    NicoleDamascenodeSalles              3
         719             CarlosdeSalles              5
         720                 NicoleRuiz              6
         721      FernandoLopesOliveira              1
         722                FabianaRuiz              6
         723         CarlosRuizdeSalles              2
         725       AntônioFalcãoGimenes              2
         726          NicoleBrazPacheco              4
         727          IsabelaRuizVargas              5
         728                 IsabelaVaz              3
         729         NicoleGimenesCarmo              5
         730        FabianaLoboPaschoal              2
         731                 BeatrizIto              4
         732         NicolasdaCunhaLima              3
         733              CarinaQuadros              2
         734       NicolasVelhoSilveira              4
         735           BeatrizLoboAssis              4
         736           FernandoPaschoal              1
         737       AntônioNazárioFarias              3
         738             NicolasGimenes              2
         739      NicolasdaSilvaPacheco              2
         740       RafaelLoboCavalcanti              2
         741       PolianeOliveiraAssis              6
         742             ElaineFragaIto              1
         743             GilmarMedeiros              2
         744         GilmarVargasFarias              1
         745             NicolasBarroso              6
         746           ÉmersonRuizBraga              4
         747           JanaínaVelhoBraz              5
         748       AdrianoMonteiroAssis              1
         749          IsabelaItoCorreia              6
         750        NicoleOliveiraFraga              1
         751         BeatrizBarrosoLima              1
         752                 TaísArruda              2
         753           TaísOliveiraLima              1
         754      BeatrizBrazCavalcanti              4
         755        NicolasMedeirosPaim              2
         756          NicoleAssisdaCruz              1
         757             FabianaMachado              7
         758            FernandoQuadros              1
         759             GilmarSilveira              3
         760        PolianeVelhoBarroso              2
         761        ValdomiroBrazdaCruz              3
         762        CarinaQuadrosVargas              1
         763              IsabelaFarias              4
         764     JanaínaQuadrosOliveira              7
         765     BeatrizMedeirosNazário              7
         766             ElainedeSalles              3
         767               CarlosdaCruz              1
         768        AdrianoQuadrosFraga              5
         769           AdrianoVazVargas              4
         770         FernandoCavalcanti              3
         771       IsabelaLopesMonteiro              4
         772        BeatrizCarmoCorreia              1
         773              RafaelMachado              3
         774          TaísQuadrosFarias              1
         775         KléberdeSallesLeal              5
         776          NicoleSimõesLopes              5
         777             ValdomiroBraga              1
         778             ÉmersonNazário              6
         779            KléberLopesLima              5
         780        FabianaSilveiraPaim              2
         781           IsabelaDamasceno              6
         782       ÉmersonOliveiraAssis              7
         783      HeloísadaCunhaQuadros              3
         784            AdrianoLoboBraz              5
         785      FernandoGimenesFalcão              4
         786             RafaelPaimLima              4
         787             FernandoVargas              2
         788            FernandoBarroso              4
         789            GilmarAssisBraz              2
         790          FabianaLopesAssis              3
         791      NicoleFalcãoDamasceno              2
         792             IsabeladaSilva              5
         793     FabianaGimenesPaschoal              3
         794        ValdomiroVelhoLopes              6
         795             FabianaGimenes              1
         796              BeatrizArruda              5
         797        AdrianoBarrosoAssis              2
         798          CarinaLealPacheco              4
         799               KléberFalcão              4
         800     BeatrizPaschoalPedroso              1
         801              FernandoAssis              5
         802              ValdomiroLima              5
         803               RafaelArruda              5
         804               ÉmersonFraga              5
         805         FernandoBarrosoIto              1
         806                 KléberPaim              1
         807       ElaineGimenesQuadros              1
         808    JanaínaPachecoDamasceno              3
         809    ValdomiroMachadodaSilva              3
         810  IsabelaCavalcantiPaschoal              5
         811           ÉmersonLealAssis              4
         812        TaísArrudaDamasceno              1
         813              ÉmersonVargas              5
         814           NicoledaCruzPaim              3
         815         IsabelaLealPedroso              2
         816               PolianeCarmo              1
         817              CarinaPedroso              2
         818                BeatrizRuiz              5
         819                 PolianeVaz              1
         820            IsabelaPaschoal              1
         821              NicoledaCunha              7
         822              RafaelLealIto              5
         823       ValdomiroCarmoSimões              5
         824         RafaelMonteiroPaim              1
         825  NicolasCavalcantiPaschoal              4
         826   RafaelPaschoalCavalcanti              6
         827                 HeloísaVaz              3
         828            HeloísaSilveira              5
         829          RafaelRuizPedroso              2
         830       JanaínaPedrosoArruda              7
         831              ElaineNazário              3
         832             KléberPaschoal              2
         833               NicolasAssis              5
         834     AdrianodeSallesPacheco              2
         835             HeloísaBarroso              5
         836     NicolasdaCunhaSilveira              4
         837             NicolasPedroso              2
         838          FernandoFragaLobo              4
         839             KléberSilveira              2
         840          RafaelPedrosoBraz              5
         841          AdrianoFragaLopes              2
         842               IsabelaLopes              3
         843         ÉmersonSimõesBraga              2
         845       CarinaVargasPaschoal              2
         846          NicoleVazPaschoal              7
         847        GilmarMachadoSimões              1
         849            AntônioSilveira              4
         850           ElainePaimdaCruz              3
         851               GilmarItoIto              4
         852       FernandoLoboSilveira              5
         853                ElaineLopes              5
         854              KléberQuadros              1
         855          TaísMonteiroCarmo              6
         856        CarinaVargasGimenes              1
         857           PolianeDamasceno              6
         858         FernandoCavalcanti              2
         859       ElaineNazáriodaCunha              2
         860             NicoleMedeiros              2
         861           PolianeFragaLobo              1
         862    ÉmersonVargasCavalcanti              3
         863      AdrianoPedrosoBarroso              6
         864             RafaelOliveira              4
         865            JanaínaPaschoal              1
         866                 KléberLeal              6
         867       CarlosMedeirosFalcão              4
         868      PolianePachecodaSilva              2
         869         PolianeLoboPedroso              5
         870             NicolasPacheco              4
         871              AdrianoArruda              5
         872      HeloísaBarrosoGimenes              7
         873               GilmarVargas              3
         874            BeatrizPaschoal              5
         875              KléberQuadros              5
         876          HeloísaFariasLima              4
         877               GilmardaCruz              6
         878 ValdomiroQuadrosCavalcanti              1
         879              CarinaMachado              2
         880         NicoleGimenesBraga              5
         881          FernandoFalcãoIto              3
         882     NicolasFalcãoDamasceno              7
         883          KléberFragaFarias              1
         884              AdrianoVargas              3
         885               AntônioVelho              3
         886               TaísPaschoal              4
         887          NicoleRuizBarroso              5
         888                  GilmarVaz              2
         889    GilmarMachadoCavalcanti              4
         890           RafaelCavalcanti              2
         892             AntônioQuadros              4
         893                 BeatrizIto              5
         894                 TaísArruda              3
         895       HeloísaDamascenoLima              1
         896         ElainedaCunhaVelho              1
         897            NicolasOliveira              3
         898            FabianaSilveira              4
         899           KléberArrudaBraz              6
         900          RafaelPaimdaSilva              5
         901            TaísItoMonteiro              2
         902               RafaeldaCruz              3
         903               ElaineVazIto              2
         904                 NicoleRuiz              6
         905      JanaínadeSallesArruda              6
         906        ElainePaschoalFraga              2
         907         IsabelaPedrosoBraz              4
         908              IsabeladaCruz              2
         909              ElainePedroso              4
         910       RafaeldaCunhaQuadros              1
         911     KléberDamascenoPacheco              5
         912                BeatrizLobo              2
         913     ÉmersonMedeirosPedroso              6
         914               BeatrizFraga              5
         915             AntônioMachado              1
         916       ÉmersonMonteiroBraga              2
         917      ValdomiroGimenesBraga              2
         918            JanaínaSilveira              1
         919              NicoleBarroso              7
         920        NicoleFragaMedeiros              4
         921       BeatrizCarmoOliveira              2
         922        AntôniodeSallesLima              2
         923              ÉmersonSimões              3
         924       NicolePedrosodaCunha              3
         925          FabianaCavalcanti              3
         926           RafaelFragaAssis              5
         927            BeatrizPaschoal              2
         928     AdrianoPedrosoOliveira              5
         929           ValdomiroPedroso              4
         930              IsabeladaCruz              2
         931               HeloísaLopes              6
         932            BeatrizPaschoal              3
         933             KléberPaschoal              2
         934             JanaínaNazário              2
         935              GilmarBarroso              7
         936               RafaelArruda              6
         937               CarinaArruda              3
         938             AntônioMachado              6
         939        FernandoVazMonteiro              1
         940      PolianedeSallesdaCruz              6
         941       ÉmersonMachadodaCruz              1
         942    FernandoFragaCavalcanti              2
         943               AdrianoAssis              4
         944         TaísCavalcantiLobo              6
         945          ElaineCarmodaCruz              5
         946            NicolasPaschoal              6
         947              FernandoBraga              1
         948                 CarinaLobo              2
         949         ÉmersonGimenesBraz              1
         950      ElaineCorreiaOliveira              2
         951           PolianeDamasceno              6
         952      NicoleGimenesOliveira              4
         953     PolianeSilveiraNazário              1
         954               ÉmersonLopes              3
         955                TaísBarroso              5
         956             NicoleCarmoIto              1
         957           CarinaCavalcanti              3
         958               IsabelaAssis              4
         959                IsabelaPaim              2
         960         BeatrizMachadoPaim              3
         961       FabianaLealDamasceno              2
         962              KléberItoRuiz              6
         964              CarlosCorreia              5
         965         KléberSimõesSimões              3
         966          CarinaPedrosoLobo              1
         967               AdrianoFraga              1
         968         NicoleCarmoGimenes              4
         969              HeloísaVargas              1
         970        TaísMachadoMedeiros              1
         971            ValdomirodaCruz              1
         972           ÉmersonFalcãoIto              4
         973              FabianaArruda              3
         974             IsabelaNazário              6
         975                KléberBraga              2
         976                 FabianaVaz              4
         977              FernandoBraga              3
         978                PolianeLima              3
         979              ElaineItoLima              6
         980      CarinaSimõesDamasceno              2
         981              RafaelBarroso              1
         982              JanaínaArruda              5
         983        NicolasGimenesVelho              1
         984        BeatrizdaCunhaBraga              5
         985      ÉmersonQuadrosdaSilva              1
         986                TaísdaSilva              6
         987      ElainedeSallesGimenes              6
         988          PolianeMachadoIto              1
         989             FabianadaSilva              2
         990               IsabelaCarmo              4
         991            ValdomiroVargas              2
         992                GilmarFraga              1
         993             RafaelSilveira              5
         995              KléberMachado              6
         996      KléberGimenesOliveira              1
         997               PolianeBraga              6
         998              CarlosMachado              6
         999      AdrianoBarrosoPedroso              6
