id, name, age, CEP, wallet
1506, Antônio da Silva Pacheco, 47, 49072-600, 3509.06
1525, Carlos Velho Farias, 41, 54786-220, 2670.23
1566, Heloísa Ruiz, 35, 65042-240, 3904.22
1579, Fernando Barroso Cavalcanti, 57, 44044-257, 1307.0
1590, Janaína Braga, 32, 44044-257, 86.72
1629, Kléber Fraga, 50, 72901-718, 4493.36
1642, Carlos Machado, 47, 44044-257, 1063.41
1682, Beatriz da Cruz, 40, 83221-160, 2212.96
1727, Carlos Ruiz Fraga, 50, 36081-770, 3163.15
1727, Nicolas Leal, 32, 68371-360, 3024.0
1771, Émerson Medeiros da Cruz, 39, 68371-360, 325.23
1801, Taís Correia Paschoal, 52, 49072-600, 4561.62
1840, Adriano Lima da Silva, 25, 54786-220, 3259.81
1843, Heloísa da Silva Simões, 37, 72872-385, 3994.96
1848, Kléber Vaz, 57, 49072-600, 1328.56
1890, Adriano Lima, 60, 65042-240, 1081.57
1899, Carlos Assis, 20, 72872-385, 2665.59
1923, Nicolas Fraga Velho, 27, 83221-160, 824.26
1939, Nicolas Ito, 39, 50900-230, 2968.93
1963, Rafael Fraga Damasceno, 49, 65042-240, 2582.84
2008, Elaine Paschoal, 49, 54786-220, 448.92
2013, Fabiana Simões, 32, 36081-770, 3119.56
2054, Carlos Paschoal, 46, 65042-240, 3140.78
2083, Nicolas Simões de Salles, 19, 91360-160, 2724.02
2104, Rafael Machado Simões, 22, 64211-140, 831.36
2104, Nicole Lobo Oliveira, 38, 54786-220, 179.29
2127, Taís Monteiro Farias, 29, 91360-160, 701.47
2145, Taís Ito Gimenes, 30, 83305-500, 1555.64
2151, Elaine Paim Lopes, 30, 72872-385, 3490.88
2191, Gilmar Fraga Falcão, 27, 72872-385, 2131.48
2219, Adriano Carmo, 42, 49072-600, 4659.82
2264, Nicole Braz, 28, 72901-718, 4300.2
2300, Gilmar Carmo, 24, 72901-718, 4300.37
2313, Taís Silveira, 26, 54786-220, 4530.07
2357, Isabela Assis, 59, 36081-770, 2357.45
2384, Isabela Quadros, 56, 72872-385, 4696.05
2388, Elaine Braga, 34, 36081-770, 2722.37
2416, Carina Medeiros Ito, 45, 44044-257, 3436.43
2463, Taís Damasceno Medeiros, 29, 64211-140, 1562.95
2491, Elaine Monteiro Paim, 38, 83221-160, 2993.1
2503, Valdomiro Leal Machado, 37, 64211-140, 1198.3
2541, Fernando Fraga, 59, 65042-240, 4059.3
2544, Carina Machado, 22, 72872-385, 2238.62
2567, Beatriz da Cruz Barroso, 28, 68371-360, 2619.41
2594, Nicole Oliveira, 29, 64211-140, 4210.31
2613, Taís Monteiro Carmo, 22, 72872-385, 4863.98
2646, Nicolas Braz, 37, 68371-360, 2783.62
2680, Isabela Quadros Medeiros, 33, 72901-718, 2728.66
2718, Fernando Pacheco, 23, 91360-160, 487.43
2747, Beatriz Lima Farias, 37, 68371-360, 1045.03
2796, Antônio Monteiro Velho, 42, 54786-220, 2136.32
2806, Heloísa Gimenes, 33, 77415-862, 4298.92
2815, Gilmar Damasceno Ito, 33, 77415-862, 1724.2
2855, Antônio Machado, 43, 44044-257, 2125.1
2863, Janaína Velho Ruiz, 54, 72901-718, 668.19
2879, Taís Gimenes Pedroso, 46, 65042-240, 2178.26
2909, Heloísa de Salles, 18, 65042-240, 2888.33
2917, Carina de Salles Vargas, 20, 83305-500, 3197.07
2926, Beatriz Fraga, 21, 68371-360, 140.53
2962, Gilmar Medeiros Leal, 19, 54786-220, 3349.1
2966, Taís da Cruz Gimenes, 36, 64211-140, 879.88
3012, Kléber Braz Falcão, 27, 77415-862, 4791.8
3012, Janaína Correia Gimenes, 47, 68371-360, 3505.32
3019, Adriano Pedroso Damasceno, 29, 49072-600, 3277.26
3037, Heloísa Barroso, 31, 36081-770, 3302.23
3072, Isabela Lima, 46, 54786-220, 4238.51
3089, Fernando da Silva Pacheco, 32, 65042-240, 1642.43
3134, Elaine Damasceno Arruda, 38, 68371-360, 575.3
3155, Rafael Machado Barroso, 18, 36081-770, 3957.16
3158, Rafael Simões, 29, 91360-160, 758.9
3183, Beatriz Medeiros, 59, 91360-160, 3658.79
3231, Carina Medeiros, 36, 64211-140, 1528.54
3254, Kléber Monteiro, 30, 91360-160, 4007.99
3255, Gilmar Vargas, 52, 65042-240, 2097.66
3256, Janaína Paschoal, 45, 72901-718, 3569.08
3259, Taís de Salles, 39, 72901-718, 3913.29
3291, Taís Lopes, 38, 49072-600, 2839.22
3324, Carina Assis, 43, 68371-360, 2620.02
3337, Poliane Vargas, 30, 77415-862, 907.63
3354, Beatriz Fraga, 20, 50900-230, 1640.42
3388, Antônio Paim da Cruz, 37, 64211-140, 2120.97
3396, Carlos Pacheco Silveira, 38, 44044-257, 2529.13
3420, Kléber Gimenes, 42, 64211-140, 549.14
3436, Poliane Arruda, 60, 49072-600, 3663.85
3438, Janaína Silveira, 43, 72901-718, 1499.75
3441, Beatriz da Cruz, 60, 49072-600, 4721.65
3462, Nicole Paschoal Assis, 39, 77415-862, 3843.38
3470, Rafael Oliveira, 41, 50900-230, 3248.88
3513, Elaine Machado Lobo, 43, 72872-385, 862.02
3547, Isabela Arruda Vaz, 41, 64211-140, 1852.86
3561, Fernando Leal, 46, 91360-160, 4963.91
3588, Rafael Gimenes Farias, 19, 83221-160, 3207.88
3629, Nicole Braz, 44, 64211-140, 3649.64
3647, Gilmar Braga, 39, 83305-500, 2714.09
3679, Kléber Braga, 57, 72872-385, 4450.9
3718, Fernando Lima Medeiros, 57, 65042-240, 2279.32
3765, Isabela Vaz, 43, 68371-360, 410.26
3803, Elaine Correia, 51, 72872-385, 1514.88
3816, Beatriz Ruiz Pedroso, 21, 64211-140, 3757.89
3825, Adriano Nazário, 36, 83305-500, 2121.8
3856, Nicole Pacheco Oliveira, 48, 83221-160, 3705.39
3900, Nicole Gimenes, 55, 36081-770, 3105.49
3929, Heloísa Lobo Vargas, 33, 72901-718, 760.89
3958, Fernando Barroso Simões, 44, 68371-360, 129.11
3976, Carina Cavalcanti, 34, 68371-360, 1017.36
4018, Beatriz de Salles Medeiros, 41, 44044-257, 296.14
4045, Nicole Machado, 31, 64211-140, 671.0
4079, Elaine Machado Barroso, 31, 72872-385, 1696.12
4109, Kléber Quadros Leal, 58, 50900-230, 4122.94
4130, Heloísa Gimenes Vargas, 52, 49072-600, 1214.47
4154, Adriano Monteiro Farias, 39, 50900-230, 4470.42
4203, Elaine Monteiro da Cunha, 29, 65042-240, 3679.01
4232, Nicole Damasceno, 23, 83305-500, 3366.22
4281, Janaína Vargas, 60, 44044-257, 4094.89
4305, Antônio Ito da Silva, 35, 54786-220, 3599.64
4343, Rafael de Salles Falcão, 24, 91360-160, 940.69
4352, Rafael Braga Damasceno, 21, 44044-257, 1749.29
4387, Elaine Lobo, 19, 54786-220, 2016.98
4407, Fernando Machado Lobo, 39, 65042-240, 3073.22
4445, Elaine Medeiros, 59, 83221-160, 2123.91
4460, Janaína Farias, 32, 64211-140, 3243.0
4464, Elaine Quadros, 58, 68371-360, 1527.53
4496, Nicole Pedroso, 21, 72872-385, 3043.38
4503, Adriano Falcão da Cunha, 32, 91360-160, 2161.29
4531, Isabela Lobo Nazário, 40, 50900-230, 1875.14
4576, Taís Velho, 49, 72872-385, 41.46
4579, Nicole Braga, 46, 65042-240, 2690.07
4618, Fernando Cavalcanti, 20, 65042-240, 3557.09
4649, Heloísa Machado, 23, 54786-220, 4736.6
4675, Nicolas Vargas, 26, 65042-240, 392.63
4712, Fernando Fraga, 49, 64211-140, 4350.77
4746, Isabela Assis Pedroso, 53, 68371-360, 1800.01
4764, Adriano Velho, 46, 54786-220, 2959.89
4788, Isabela Pedroso Arruda, 35, 65042-240, 4189.44
4830, Nicolas de Salles Assis, 43, 72872-385, 4706.43
4873, Nicole Velho, 45, 65042-240, 1730.53
4895, Antônio Farias, 18, 83305-500, 1328.83
4933, Valdomiro Braz Paim, 46, 64211-140, 4817.17
4974, Émerson Correia Arruda, 51, 68371-360, 4171.84
4984, Poliane da Cruz Pacheco, 54, 83221-160, 3334.85
4986, Nicole Paschoal Carmo, 41, 50900-230, 1982.35
5027, Taís Vaz Pacheco, 26, 72901-718, 639.5
5053, Carina Barroso, 35, 64211-140, 1140.27
5075, Taís Simões Medeiros, 60, 44044-257, 3184.55
5095, Carina Falcão Lobo, 47, 91360-160, 2094.92
5106, Valdomiro Assis, 40, 65042-240, 3968.3
5149, Antônio Oliveira Fraga, 24, 36081-770, 3616.42
5158, Beatriz Oliveira Lima, 20, 91360-160, 2590.0
5180, Beatriz Damasceno, 39, 77415-862, 3917.62
5186, Carina Monteiro Cavalcanti, 31, 44044-257, 309.96
5190, Antônio Barroso, 41, 72872-385, 1598.97
5217, Fernando Fraga, 37, 36081-770, 3685.73
5222, Nicolas Oliveira, 44, 50900-230, 1936.38
5225, Isabela da Cruz, 48, 44044-257, 41.34
5247, Fabiana da Cruz, 55, 72901-718, 530.13
5251, Poliane Pedroso, 33, 68371-360, 4768.35
5278, Elaine Paschoal Vaz, 23, 77415-862, 4114.94
5282, Heloísa Oliveira, 58, 72901-718, 3177.34
5302, Émerson Lopes Carmo, 49, 77415-862, 2809.03
5304, Rafael Lopes, 40, 83221-160, 249.31
5349, Émerson Monteiro Braz, 44, 50900-230, 3649.8
5396, Nicole Assis, 32, 83305-500, 387.4
5413, Nicolas Medeiros Simões, 47, 54786-220, 3916.65
5451, Valdomiro Braga, 55, 77415-862, 1278.85
5476, Rafael Lopes Oliveira, 29, 50900-230, 3901.92
5482, Nicolas Damasceno, 54, 83305-500, 1854.76
5501, Rafael Farias da Silva, 30, 50900-230, 1759.74
5523, Adriano Gimenes, 24, 64211-140, 1911.58
5550, Nicolas Vargas, 59, 72872-385, 4497.46
5554, Valdomiro Vaz, 30, 64211-140, 1481.07
5581, Valdomiro Paim, 50, 50900-230, 1290.58
5582, Carlos Ito, 54, 64211-140, 4161.82
5600, Taís Barroso Paschoal, 25, 83221-160, 272.4
5610, Elaine Damasceno Silveira, 46, 50900-230, 1427.11
5651, Isabela Cavalcanti, 26, 68371-360, 3934.45
5686, Beatriz Assis Barroso, 42, 64211-140, 4117.41
5708, Janaína Farias, 33, 72901-718, 2128.16
5750, Émerson Velho, 50, 72872-385, 761.44
5770, Carlos Correia, 60, 64211-140, 1093.36
5815, Taís Lima, 45, 72901-718, 4146.07
5847, Valdomiro Pacheco Damasceno, 42, 54786-220, 1368.26
5873, Janaína Arruda Gimenes, 51, 77415-862, 592.7
5919, Poliane Lopes Silveira, 27, 68371-360, 4999.67
5921, Fabiana Simões, 52, 49072-600, 4016.92
5969, Gilmar Ruiz, 24, 36081-770, 655.74
5991, Nicole Monteiro, 45, 72901-718, 566.48
6038, Gilmar Nazário, 20, 72901-718, 2098.53
6087, Isabela da Cruz, 40, 36081-770, 4564.2
6109, Gilmar Gimenes Farias, 52, 50900-230, 3145.36
6127, Beatriz Lopes, 36, 54786-220, 649.24
6158, Adriano Farias, 33, 49072-600, 2656.15
6187, Fernando Gimenes, 18, 65042-240, 404.69
6222, Carlos Braz, 54, 72901-718, 2562.76
6263, Elaine Braz Medeiros, 56, 54786-220, 2983.1
6283, Valdomiro Fraga, 59, 49072-600, 3153.77
6312, Fabiana Arruda, 58, 72872-385, 3509.86
6336, Rafael Machado Carmo, 19, 65042-240, 4089.17
6358, Rafael Machado, 45, 44044-257, 397.95
6396, Valdomiro Paim da Silva, 23, 64211-140, 2460.13
6439, Carlos Farias Silveira, 27, 49072-600, 2713.39
6440, Gilmar Quadros, 56, 44044-257, 1693.31
6471, Fabiana de Salles Paschoal, 45, 54786-220, 3644.7
6504, Poliane Assis Correia, 54, 64211-140, 3367.11
6540, Taís Damasceno Gimenes, 23, 50900-230, 1440.95
6541, Fernando Cavalcanti, 34, 68371-360, 4108.11
6570, Janaína Medeiros, 38, 65042-240, 826.47
6576, Nicolas Ito Lima, 23, 91360-160, 2790.79
6578, Gilmar Carmo, 19, 50900-230, 4810.94
6591, Valdomiro Leal Falcão, 47, 49072-600, 2848.42
6598, Taís Quadros, 31, 77415-862, 2687.56
6629, Fabiana Braga Assis, 37, 36081-770, 1361.22
6676, Gilmar Cavalcanti da Cruz, 49, 49072-600, 259.82
6704, Carina Quadros, 48, 68371-360, 331.5
6748, Fernando de Salles, 19, 49072-600, 1901.72
6791, Gilmar Lobo de Salles, 43, 65042-240, 34.52
6818, Gilmar Quadros Correia, 49, 83305-500, 2829.42
6841, Heloísa Machado Simões, 30, 54786-220, 4688.38
6886, Elaine Lima, 55, 83305-500, 2443.96
6894, Poliane Braga, 20, 64211-140, 1862.79
6913, Heloísa Farias, 20, 44044-257, 2867.61
6955, Beatriz Simões Assis, 48, 49072-600, 2852.26
6957, Carina Assis Oliveira, 31, 64211-140, 4946.5
7001, Carina Oliveira, 26, 65042-240, 4237.77
7027, Valdomiro Nazário Barroso, 26, 50900-230, 1734.41
7072, Elaine da Silva Machado, 40, 50900-230, 667.95
7082, Kléber Vargas, 19, 72872-385, 4463.51
7128, Carlos Velho, 43, 50900-230, 4270.12
7176, Fabiana da Cruz, 30, 49072-600, 1064.3
7201, Nicolas Quadros Nazário, 52, 49072-600, 965.93
7238, Émerson Paim, 55, 65042-240, 3434.57
7259, Elaine Fraga Vargas, 48, 44044-257, 3076.41
7270, Kléber Gimenes Ito, 28, 83221-160, 1539.17
7311, Adriano Quadros, 25, 64211-140, 3100.28
7351, Taís Paschoal Braz, 33, 65042-240, 1829.16
7363, Émerson da Silva da Silva, 35, 44044-257, 4943.14
7368, Adriano da Silva Braz, 30, 83305-500, 390.63
7378, Elaine Carmo, 53, 83221-160, 2965.53
7395, Carlos Fraga Barroso, 59, 83305-500, 323.66
7407, Carlos Braga, 57, 49072-600, 4877.17
7422, Adriano Monteiro, 27, 83305-500, 4534.49
7441, Heloísa Braz, 43, 83305-500, 2659.35
7448, Nicole Braz, 24, 44044-257, 3824.12
7460, Gilmar de Salles, 32, 65042-240, 3469.89
7483, Nicole Medeiros Braga, 24, 83221-160, 2185.26
7503, Janaína Cavalcanti, 54, 72872-385, 4520.9
7518, Adriano Lopes da Cunha, 49, 83305-500, 1104.45
7545, Isabela Lima Barroso, 22, 83305-500, 3281.07
7580, Carlos Gimenes, 37, 50900-230, 4378.02
7611, Beatriz Assis, 23, 64211-140, 2861.97
7632, Antônio Medeiros, 38, 36081-770, 183.85
7672, Antônio Gimenes, 32, 83221-160, 3913.61
7686, Adriano Leal, 25, 64211-140, 1455.01
7720, Taís Gimenes Machado, 43, 65042-240, 3968.89
7755, Heloísa Damasceno, 43, 65042-240, 1202.76
7769, Taís Ruiz, 26, 72872-385, 3663.48
7814, Nicole Nazário Machado, 60, 54786-220, 962.18
7859, Kléber Ruiz Leal, 41, 50900-230, 4927.49
7864, Carlos Braz, 33, 83305-500, 1523.37
7897, Fernando Vaz, 18, 83221-160, 4717.48
7919, Elaine da Cruz Arruda, 26, 49072-600, 4376.9
7951, Nicolas Paim Farias, 60, 77415-862, 3089.48
7951, Heloísa Ruiz da Silva, 37, 72872-385, 4515.16
8000, Elaine da Silva Medeiros, 38, 54786-220, 4971.9
8048, Heloísa Leal, 58, 44044-257, 2300.42
8086, Poliane Vargas, 20, 49072-600, 2499.39
8103, Beatriz Paschoal Gimenes, 55, 83305-500, 2126.96
8132, Heloísa Machado Gimenes, 55, 65042-240, 4751.19
8139, Nicole Braz, 30, 64211-140, 2878.07
8185, Poliane Pacheco Nazário, 33, 83221-160, 1017.93
8209, Janaína Falcão Vaz, 51, 83221-160, 1992.56
8234, Isabela Paim Gimenes, 44, 44044-257, 4157.3
8246, Carina Carmo, 18, 50900-230, 3646.92
8280, Kléber Quadros Damasceno, 43, 91360-160, 4552.72
8285, Fabiana Pedroso, 35, 83221-160, 474.63
8286, Kléber da Cunha Braz, 48, 65042-240, 4596.88
8321, Antônio Pedroso Vargas, 44, 54786-220, 2586.22
8337, Antônio Machado da Cruz, 40, 77415-862, 2323.67
8365, Isabela Pedroso, 48, 72901-718, 172.35
8382, Poliane Machado, 57, 49072-600, 3936.1
8408, Valdomiro Paschoal Quadros, 53, 64211-140, 123.69
8432, Nicolas Paschoal, 36, 68371-360, 1982.76
8476, Antônio Silveira, 33, 68371-360, 684.31
8525, Rafael Ito Machado, 57, 49072-600, 3489.52
8574, Heloísa Assis Cavalcanti, 47, 83305-500, 1304.77
8586, Kléber Silveira, 51, 72872-385, 4181.32
8599, Taís Cavalcanti Silveira, 27, 77415-862, 4704.24
8647, Carlos de Salles Nazário, 55, 91360-160, 756.44
8674, Rafael Vargas Paim, 45, 54786-220, 3230.59
8704, Poliane da Cunha, 22, 77415-862, 3307.58
8708, Émerson Vaz, 44, 64211-140, 4285.02
8724, Gilmar Gimenes, 44, 72872-385, 616.67
8731, Janaína Pacheco, 45, 91360-160, 826.2
8779, Heloísa Nazário, 37, 72901-718, 725.43
8796, Carlos da Cunha, 46, 72872-385, 832.92
8803, Kléber Damasceno, 32, 72901-718, 3163.21
8814, Carlos Correia, 60, 91360-160, 3294.15
8819, Janaína Lopes, 51, 91360-160, 3355.55
8820, Émerson Falcão, 22, 36081-770, 572.77
8854, Antônio Nazário Paschoal, 44, 65042-240, 3980.74
8854, Carlos Simões, 54, 83221-160, 4369.45
8901, Nicole Lima Paschoal, 26, 50900-230, 461.37
8938, Antônio Quadros, 30, 49072-600, 3715.89
8975, Carlos Pedroso, 41, 72901-718, 4569.91
9016, Gilmar da Silva, 42, 83221-160, 2522.86
9018, Taís Medeiros, 37, 54786-220, 4821.89
9063, Fernando Nazário Leal, 38, 50900-230, 2749.9
9068, Janaína Monteiro, 23, 49072-600, 3504.66
9075, Beatriz da Silva, 42, 83305-500, 3755.19
9121, Adriano Assis Carmo, 41, 44044-257, 2184.42
9136, Beatriz Quadros, 30, 50900-230, 2467.62
9161, Nicole Leal da Silva, 20, 83221-160, 1024.09
9196, Fernando Pedroso, 47, 64211-140, 4641.95
9239, Kléber Silveira, 60, 68371-360, 2859.08
9276, Heloísa Nazário, 56, 72872-385, 3686.09
9324, Poliane Farias Pacheco, 44, 64211-140, 1624.05
9352, Antônio Gimenes Nazário, 23, 68371-360, 3794.98
9366, Émerson Pacheco da Cunha, 34, 36081-770, 3044.06
9377, Gilmar Simões, 24, 49072-600, 2625.35
9384, Fernando Pacheco Medeiros, 59, 83305-500, 2494.77
9397, Gilmar Paim da Cruz, 36, 91360-160, 1327.49
9400, Antônio de Salles, 21, 65042-240, 4788.52
9425, Elaine Paim Lobo, 25, 83221-160, 677.85
9463, Carina Ruiz Ruiz, 38, 68371-360, 556.28
9502, Janaína da Cruz de Salles, 36, 83305-500, 4787.33
9536, Antônio Damasceno, 22, 50900-230, 759.53
9573, Poliane Farias Lobo, 28, 72872-385, 2460.42
9602, Fernando Correia, 47, 36081-770, 2930.84
9642, Émerson Carmo Cavalcanti, 27, 44044-257, 2431.37
9665, Nicolas Machado Braga, 19, 54786-220, 909.74
9702, Nicolas Carmo Gimenes, 59, 83221-160, 1530.26
9708, Fabiana da Silva Ito, 36, 68371-360, 3861.82
9757, Valdomiro Barroso Paim, 27, 36081-770, 4451.44
9773, Rafael Braz, 57, 83221-160, 4763.88
9788, Antônio Ito, 18, 54786-220, 2725.34
9790, Rafael Braz, 33, 65042-240, 3537.66
9795, Carlos Damasceno, 23, 91360-160, 4750.32
9799, Carina Leal Ruiz, 59, 68371-360, 729.68
9841, Taís Falcão Leal, 59, 36081-770, 3195.84
9866, Beatriz da Cunha, 29, 36081-770, 4873.61
9871, Adriano Arruda, 29, 65042-240, 2109.37
9913, Taís Fraga, 30, 72901-718, 3829.56
9931, Fernando Velho, 53, 44044-257, 3188.29
9971, Carina Braz, 26, 65042-240, 3124.03
10001, Heloísa Gimenes, 49, 77415-862, 4736.78
10033, Carina Velho, 48, 83221-160, 4683.57
10079, Émerson Lopes, 25, 44044-257, 4343.19
10100, Carina Carmo, 39, 72901-718, 865.14
10103, Heloísa Braz Vaz, 49, 44044-257, 2751.65
10148, Heloísa Fraga, 36, 64211-140, 402.27
10160, Valdomiro Arruda, 21, 72872-385, 320.82
10165, Valdomiro Ito, 34, 49072-600, 2897.53
10206, Fabiana Nazário, 56, 64211-140, 2613.12
10243, Carlos Vaz Braz, 55, 72872-385, 1245.72
10244, Beatriz Arruda, 37, 83305-500, 4881.76
10288, Janaína Paim Braga, 25, 91360-160, 4769.72
10312, Taís Monteiro, 51, 77415-862, 2710.65
10351, Nicole Pacheco Braga, 30, 83305-500, 788.53
10379, Nicole Monteiro Oliveira, 59, 68371-360, 1779.35
10382, Nicolas Leal Damasceno, 49, 65042-240, 123.56
10401, Isabela Braz de Salles, 36, 77415-862, 192.46
10409, Isabela Pedroso Barroso, 21, 50900-230, 120.68
10417, Isabela Correia, 60, 72872-385, 4776.78
10453, Elaine Correia Pacheco, 38, 64211-140, 3351.04
10487, Isabela de Salles, 24, 65042-240, 1858.39
10492, Nicole Barroso, 38, 50900-230, 3237.52
10503, Antônio da Silva, 27, 64211-140, 2878.37
10513, Beatriz Medeiros Velho, 42, 83221-160, 2672.68
10527, Nicole Machado, 48, 91360-160, 4450.19
10568, Émerson Braz, 32, 50900-230, 1455.19
10574, Valdomiro Machado, 40, 50900-230, 4528.23
10623, Émerson Oliveira Damasceno, 41, 83305-500, 688.45
10668, Elaine Cavalcanti, 18, 50900-230, 655.96
10712, Fabiana Carmo, 23, 50900-230, 1614.46
10712, Gilmar Simões Leal, 19, 72872-385, 3470.51
10732, Antônio Silveira, 32, 54786-220, 2465.99
10746, Fernando Leal Pedroso, 22, 49072-600, 2059.62
10750, Poliane da Cruz Arruda, 57, 83221-160, 588.92
10759, Carina Monteiro Oliveira, 48, 68371-360, 146.68
10779, Fernando Monteiro, 39, 72901-718, 2282.52
10809, Carina da Silva, 54, 54786-220, 3486.51
10819, Valdomiro Farias, 48, 77415-862, 2334.55
10831, Rafael Barroso Gimenes, 29, 83221-160, 3189.16
10877, Rafael Farias, 36, 83305-500, 1990.55
10915, Adriano Velho, 58, 91360-160, 3265.64
10950, Janaína Fraga Lopes, 30, 77415-862, 3390.27
10957, Janaína Leal, 31, 54786-220, 2046.39
10967, Beatriz Assis, 21, 77415-862, 4382.8
10993, Adriano Braga, 19, 36081-770, 1465.31
11024, Elaine da Cruz Nazário, 31, 91360-160, 2295.5
11037, Janaína Medeiros Arruda, 57, 91360-160, 1508.04
11068, Kléber Leal, 31, 44044-257, 4914.35
11074, Fernando Lima, 41, 72872-385, 1449.99
11087, Adriano Barroso Oliveira, 28, 68371-360, 772.03
11102, Fabiana Vargas, 31, 49072-600, 4525.63
11139, Taís Quadros, 59, 65042-240, 936.47
11186, Beatriz Monteiro Farias, 48, 68371-360, 2521.65
11202, Elaine Oliveira Farias, 43, 49072-600, 2833.8
11202, Rafael Gimenes Machado, 26, 83305-500, 1808.78
11206, Valdomiro da Cunha Medeiros, 22, 36081-770, 2337.64
11220, Fernando Paschoal Cavalcanti, 52, 83221-160, 2182.7
11242, Heloísa Cavalcanti, 26, 83221-160, 1769.63
11287, Fernando Falcão Damasceno, 18, 65042-240, 3128.54
11318, Nicole Farias, 28, 65042-240, 1693.26
11329, Rafael Lima, 56, 36081-770, 3901.97
11336, Kléber Lopes Ito, 24, 83305-500, 2381.15
11374, Nicole Monteiro da Silva, 47, 83221-160, 630.45
11392, Gilmar da Cunha, 26, 65042-240, 4936.54
11439, Fabiana Vaz, 60, 91360-160, 2881.04
11453, Janaína de Salles, 47, 83305-500, 1930.88
11498, Adriano Carmo, 23, 36081-770, 2871.49
11518, Kléber Barroso, 59, 83221-160, 4309.76
11530, Elaine Cavalcanti, 58, 77415-862, 3090.17
11577, Rafael Machado, 50, 65042-240, 2216.05
11617, Gilmar Nazário, 29, 72901-718, 1052.44
11648, Fernando Paim, 27, 83221-160, 393.65
11678, Carina Machado Medeiros, 42, 72901-718, 2340.42
11702, Valdomiro Correia, 44, 91360-160, 2787.66
11735, Antônio Nazário, 56, 49072-600, 654.21
11736, Kléber Damasceno, 28, 72901-718, 4067.05
11783, Fernando Arruda, 39, 64211-140, 666.2
11800, Émerson Braz Quadros, 54, 64211-140, 2390.52
11812, Antônio Simões Quadros, 43, 91360-160, 4975.19
11835, Isabela Nazário, 47, 91360-160, 4903.07
11882, Antônio Vaz, 42, 72872-385, 2335.6
11904, Fernando Braz, 47, 50900-230, 948.22
